경로	키	갱신 시각	카테고리	원문	번역문	수정문	(일) 코멘트	(한) 코멘트
JP_AbnormalityGuides_Refraction5.json:15	8632-storyList[1].story	2025-06-12	오기	금일 11시경, 그것과 유의미한 전투를 수행했습니다.\n\n예상대로 그것은 전투에 돌입하자마자, 뼈를 이용한 물리적 공격을 시도하더군요.\n\n가장 두드러진 공격은 척추를 길게 늘어뜨린 후, 거대한 턱으로 적대 개체를 물어뜯는 것이었습니다만, 의외의 방식으로도 공격해 오는 것이 확인되었습니다.\n\n간헐적으로 내뱉는 숨. 일반적인 호흡과 달리 그것의 호흡은 강한 충격과 풍압을 동반했고… 직접적으로 영향 받은 수감자들에게 심각한 피해를 초래했습니다.\n\n한심한 녀석들이지만, 전력의 부재는 치명적인 결과를 낳을 수 있기에 차후 지휘에 유용해 주시길 바랍니다.\n\n다만… 전략성을 크게 필요로 하는 개체는 아니라고 판단됩니다. 압박 전술을 활용하시면 될 것으로 사료됩니다.\n\n한가지 주의해야 할 부분이 있었는데, 일정 시간이 경과한 후 그것이 거대한 숨결을 방출했습니다.\n\n그 숨결이 피아를 가리지 않고 들이쉰 자의 집중력을 증진시키며, 공격이 날카로워짐이 확인되었습니다. 이 과정에서 해골 내부의 검은 개체가 들이쉰 숨결을 강탈하려는 움직임을 보이더군요.\n\n다양한 전략을 시도해 보았으나, 빼앗아 가는 것을 막을 순 없었습니다.\n\n각 개인의 격렬한 저항을 통해 빼앗기는 숨결을 최소화하는 게 최선이었지요,\n\n대량의 숨결을 빼앗길 경우, 그것의 공격이 더욱 강해지기에 이를 빼앗기지 않는 것이 최중요 사안일 듯합니다.\n\n이상으로 보고를 마치겠습니다.\n\n감사합니다.\n\n→ 가독성을 위해 호흡 소리를 제거했어요. 다만, 현장감을 위해, 이전 기록의 호흡 소리는 남겨두도록 하겠습니다.\n\n→ 아, 아까 그 검은 사람이 그레고르 씨를 끌고 들어가던데 괜찮으신가요?\n\n→ …잡혀가면 험한 꼴 보니까 조심하는 게 좋을걸. 온몸이 찢어지는 줄 알았다고.	本日11時頃、それとの有意義な戦闘を実施しました。\n\n予想通り、それは戦闘が始まるとすぐに骨を用いた物理攻撃を仕掛けてきましたね。\n\n最も目立った攻撃は脊椎を長く伸ばし、その巨大な顎で敵対個体を噛み砕くものでしたが、予想外の攻撃手段も確認されました。\n\n断続的に吐き出す息。一般的な呼吸とは異なり、それの呼吸は強烈な衝撃と突風を伴い…直接影響を受けた囚人たちに深刻な被害をもたらしました。\n\n無様な連中ですが、戦力の欠如は致命的な結果を招く可能性があるため、今後の指揮に役立てていただければ幸いです。\n\nただし…戦略性を特に必要とする個体ではないと判断されます。圧迫戦術を活用すれば、十分対処可能かと思われます。\n\n一つ注意すべき点がありました。一定時間が経過すると、それは強大な息吹を放出しました。\n\nその息吹は敵味方を問わず吸い込んだ者の集中力を高め、攻撃が鋭さを増すことが確認されました。そして、この過程において、骸骨内部の黒い個体が、他者の吸い込んだ息吹を強奪しようとする動きを見せましたね。\n\n様々な戦略を試みましたが、奪われるのを阻止することはできませんでした。\n\n各個人の激しい抵抗によって、奪われる息吹の量を最小限に抑えることが最善策でした。\n\n大量の息吹を奪われた場合、それの攻撃はさらに強化されるためこれを防ぐことが最重要事案のようでず。\n\n以上で報告を終了します。\n\n感謝いたします。\n\n→ 可読性のために呼吸音を削除しました。ただし、臨場感を考慮し、前回の記録の呼吸音は残しておきます。\n\n→ さ、さっきの黒い人がグレゴールさんを引きずり込んでいたんですけど、大丈夫ですか？\n\n→ …捕まると酷い目に遭うから気をつけた方がいいぞ。全身が引き裂かれるかと思ったよ。	本日11時頃、それとの有意義な戦闘を実施しました。\n\n予想通り、それは戦闘が始まるとすぐに骨を用いた物理攻撃を仕掛けてきましたね。\n\n最も目立った攻撃は脊椎を長く伸ばし、その巨大な顎で敵対個体を噛み砕くものでしたが、予想外の攻撃手段も確認されました。\n\n断続的に吐き出す息。一般的な呼吸とは異なり、それの呼吸は強烈な衝撃と突風を伴い…直接影響を受けた囚人たちに深刻な被害をもたらしました。\n\n無様な連中ですが、戦力の欠如は致命的な結果を招く可能性があるため、今後の指揮に役立てていただければ幸いです。\n\nただし…戦略性を特に必要とする個体ではないと判断されます。圧迫戦術を活用すれば、十分対処可能かと思われます。\n\n一つ注意すべき点がありました。一定時間が経過すると、それは強大な息吹を放出しました。\n\nその息吹は敵味方を問わず吸い込んだ者の集中力を高め、攻撃が鋭さを増すことが確認されました。そして、この過程において、骸骨内部の黒い個体が、他者の吸い込んだ息吹を強奪しようとする動きを見せましたね。\n\n様々な戦略を試みましたが、奪われるのを阻止することはできませんでした。\n\n各個人の激しい抵抗によって、奪われる息吹の量を最小限に抑えることが最善策でした。\n\n大量の息吹を奪われた場合、それの攻撃はさらに強化されるためこれを防ぐことが最重要事案のようです。\n\n以上で報告を終了します。\n\n感謝いたします。\n\n→ 可読性のために呼吸音を削除しました。ただし、臨場感を考慮し、前回の記録の呼吸音は残しておきます。\n\n→ さ、さっきの黒い人がグレゴールさんを引きずり込んでいたんですけど、大丈夫ですか？\n\n→ …捕まると酷い目に遭うから気をつけた方がいいぞ。全身が引き裂かれるかと思ったよ。	誤記: "大量の息吹を奪われた場合、それの攻撃はさらに強化されるためこれを防ぐことが最重要事案のようで「ず」。"  訂正後: "それの攻撃はさらに強化されるためこれを防ぐことが最重要事案のようで「す」。"	오기: "大量の息吹を奪われた場合、それの攻撃はさらに強化されるためこれを防ぐことが最重要事案のようで「ず」。"  정확: "それの攻撃はさらに強化されるためこれを防ぐことが最重要事案のようで「す」。"
JP_AbnormalityGuides_Refraction5.json:19	8632-storyList[2].story	2025-06-12	오기	전투 중 추가로 기재할 만한 사항이 생겨 추가로 보고드립니다.\n\n그것의 갈비뼈를 파괴할 경우, 보다 치명적인 공격을 준비한다는 사실을 밝혀냈습니다.\n\n다만, 본체를 보호하는 뼈가 사라진 만큼, 그것에 대한 대부분의 공격이 더 유효해지더군요.\n\n갈비뼈를 파괴하지 않을 경우, 장기전으로 접어들 가능성이 높아지는 건 사실이나 반대로 치명적인 위험에 처할 가능성을 배제할 수 있다는 장점이 있습니다.\n\n음. 아무래도 전략적 선택이 필요한 순간인 듯합니다만.\n\n관리자님은 언제나 그러했듯, 그것의 행동과 전장의 상황을 고려하여 훌륭한 판단을 내리시겠지요.\n\n그러니 이후의 지휘에 대해서는… 관리자님의 훌륭한 판단을 따르도록 하겠습니다.\n\n이상으로 보고를 마치겠습니다.\n\n감사합니다.\n\n→ 아… 고마워.\n\n→ 요즘 오티스에게 대답하는 단테… 어딘가 성의 없어진 것 같지 않아?\n\n→ 아니… 오해야! 나름 성심성의껏 대답하고 있어.\n\n→ 쓸데없는 이간질로 나와 관리자님의 사이를 갈라놓으려는 수작질인가. 무의미한 짓을 하는군.\n\n→ 아니… 그것도 오해인 것 같은데. 아무튼 정말 진심으로 고마워서 말하는 거라는 건 알아줘…	戦闘中に追記すべき事項が発生したため、追加でご報告いたします。\n\nそれの肋骨を破壊すると、より致命的な攻撃を準備することが判明しました。\n\nしかし、本体を守る骨が失われた分、それに対する攻撃の大半がより有効になることも確認されました。\n\n肋骨を破壊しない場合は長期戦に突入する可能性が高くなるのは事実ですが、反対に致命的な危険晒される可能性を排除できるという長所もあります。\n\nふむ。どうやら、戦略的な選択が必要な瞬間のようですね。\n\n管理人様はいつもそうであったように、それの行動や戦場の状況を的確に見極めて優れた判断を下されることでしょう。\n\nですので、今後の指揮については…管理人様の素晴らしい判断に従うことといたします。\n\n以上で報告を終了します。\n\n感謝いたします。\n\n→ うん…ありがとう。\n\n→ 最近ウーティスに返事するダンテ…なんか気持ちこもってなくない？\n\n→ いや…誤解だって！私なりに誠心誠意返事してるよ。\n\n→ 下らん離間工作で私と管理人様の仲を裂こうとするつもりか。無意味なことをするんだな。\n\n→ いや…それも誤解だと思うんだけど。とにかく、本当に心から感謝して言ってるってことは分かってほしいな…。	戦闘中に追記すべき事項が発生したため、追加でご報告いたします。\n\nそれの肋骨を破壊すると、より致命的な攻撃を準備することが判明しました。\n\nしかし、本体を守る骨が失われた分、それに対する攻撃の大半がより有効になることも確認されました。\n\n肋骨を破壊しない場合は長期戦に突入する可能性が高くなるのは事実ですが、反対に致命的な危険に晒される可能性を排除できるという長所もあります。\n\nふむ。どうやら、戦略的な選択が必要な瞬間のようですね。\n\n管理人様はいつもそうであったように、それの行動や戦場の状況を的確に見極めて優れた判断を下されることでしょう。\n\nですので、今後の指揮については…管理人様の素晴らしい判断に従うことといたします。\n\n以上で報告を終了します。\n\n感謝いたします。\n\n→ うん…ありがとう。\n\n→ 最近ウーティスに返事するダンテ…なんか気持ちこもってなくない？\n\n→ いや…誤解だって！私なりに誠心誠意返事してるよ。\n\n→ 下らん離間工作で私と管理人様の仲を裂こうとするつもりか。無意味なことをするんだな。\n\n→ いや…それも誤解だと思うんだけど。とにかく、本当に心から感謝して言ってるってことは分かってほしいな…。	誤記: "肋骨を破壊しない場合は長期戦に突入する可能性が高くなるのは事実ですが、反対に致命的な危険「」晒される可能性を排除できるという長所もあります。" 訂正後: "反対に致命的な危険「に」晒される可能性を排除できるという長所もあります。"	오기: "肋骨を破壊しない場合は長期戦に突入する可能性が高くなるのは事実ですが、反対に致命的な危険「」晒される可能性を排除できるという長所もあります。" 정확: "反対に致命的な危険「に」晒される可能性を排除できるという長所もあります。"
JP_AbnormalityGuides_Refraction5.json:51	8633-storyList[0].story	2025-06-12		지독할 정도의 피 냄새로군.언뜻 평범한 장미처럼 보이지만…\n\n꽃잎 사이사이에 있는 눈. 난 저 눈을 본 적이 있어.\n\n피에 굶주린 가족들에게서나 볼 수 있던 그 번들번들하고, 진득한 욕망의 눈.\n\n무언가를 죽이거나, 해하려는 게 아냐. 저건 단순히… 피를 갈망하고 있을 뿐이지.\n\n저 꽃도 과거에는 저런 괴물이 아니었을 거다. 피를 머금고 머금다, 결국 만족하지 못하게 되었을 뿐일 테니.\n\n….하. 저 미물에게 연민을 가지기 전에 내 처지부터 신경 쓰는 게 낫겠지만서도.\n\n흠. 움직임을 보면…. 예상되는 건 저 덩굴을 휘두르는 공격인가? 하지만 그런 단순한 공격이라면 크게 문제 될 건 없을 테고.\n\n그래, 저 붉은 꽃잎이 피를 머금었다면 피를 이용한 공격도 예상할 수 있겠군.\n\n이걸 자연스레 관리자 나리에게 전달하려…\n\n…잠깐. 이거 서, 설마 벌써 기록되고 있는 것인… 겐가?\n\n파, 파우스트군. 버튼을 잘못 눌러서 그러네만, 혹시 이 기록은 버리고 새로 작성하는 것은…\n\n→ 마땅한 사유가 있다면 가능합니다.\n\n→ 오오! 그럼 부탁하겠네! 녹음으로 기록하는 건 처음이라 작은 실수가 있었다네.\n\n→ 마땅한 사유가 아니기에 기각합니다. 해당 기록은 그대로 유지해도 문제없겠군요.\n\n→ (돈키호테가 남긴 수십번의 재기록 요청 밑으로 파우스트가 하나하나 거절의 문구를 적어준 것이 보인다.)	酷い血の匂いだな。ひと目見たところ、平凡の薔薇のように見えるが…。\n\n花びらの隙間にある、あの沢山の目。私はあの目を見たことがある。\n\n血に飢えた家族達から見られた、あのギラついた、ねっとりとした欲望の眼。\n\n何かを殺そうとか、害そうとしているわけじゃない。あれはただ単に…血を渇望しているだけだ。\n\nあの花も、過去はこのような怪物ではなかったのだろう。血を宿しに宿し、やがて満足できなくなっただけなのだろう。\n\n…はぁ。あの小さき者に憐憫を抱く前に、まずは私の立場を顧みる方が良いだろうが。\n\nふむ。動きを見るに…。予想されるのは、あの蔓を振り回す攻撃か？ しかし、そんな単純な攻撃であれば、大した問題にはならないだろう。\n\nそうだな。あの紅い花びらが血を吸ったのなら、血を用いた攻撃も考えられよう。\n\nこれをごく自然に、管理人殿へ伝え―\n\n…待て。これはも、もしや既に記録されているんじゃ…ありませぬか？\n\nファ、ファウスト君！誤ってボタンを押してしまったので聞きまするが、もしやこの記録を破棄して新たに書き直すことは―\n\n→ 妥当な事由があれば可能です。\n\n→ おお！では頼み申す！録音にて記録を残すのは初めてゆえ、つい些細な過ちを犯してしまったのでありまする。\n\n→ 妥当な事由ではないので棄却します。当該記録はそのまま維持しても問題なさそうですね。\n\n→ (ドンキホーテ残した数十回の再記録要請の下に、ファウストがひとつひとつに却下の文言を書いている。)	酷い血の匂いだな。ひと目見たところ、平凡な薔薇のように見えるが…。\n\n花びらの隙間にある、あの沢山の目。私はあの目を見たことがある。\n\n血に飢えた家族達から見られた、あのギラついた、ねっとりとした欲望の眼。\n\n何かを殺そうとか、害そうとしているわけじゃない。あれはただ単に…血を渇望しているだけだ。\n\nあの花も、過去はこのような怪物ではなかったのだろう。血を宿しに宿し、やがて満足できなくなっただけなのだろう。\n\n…はぁ。あの小さき者に憐憫を抱く前に、まずは私の立場を顧みる方が良いだろうが。\n\nふむ。動きを見るに…。予想されるのは、あの蔓を振り回す攻撃か？ しかし、そんな単純な攻撃であれば、大した問題にはならないだろう。\n\nそうだな。あの紅い花びらが血を吸ったのなら、血を用いた攻撃も考えられよう。\n\nこれをごく自然に、管理人殿へ伝え―\n\n…待て。これはも、もしや既に記録されているんじゃ…ありませぬか？\n\nファ、ファウスト君！誤ってボタンを押してしまったので聞きまするが、もしやこの記録を破棄して新たに書き直すことは―\n\n→ 妥当な事由があれば可能です。\n\n→ おお！では頼み申す！録音にて記録を残すのは初めてゆえ、つい些細な過ちを犯してしまったのでありまする。\n\n→ 妥当な事由ではないので棄却します。当該記録はそのまま維持しても問題なさそうですね。\n\n→ (ドンキホーテが残した数十回の再記録要請の下に、ファウストがひとつひとつに却下の文言を書いている。)	誤植1: "酷い血の匂いだな。ひと目見たところ、平凡の薔薇のように見えるが…。"  訂正後1: "ひと目見たところ、平凡「な」薔薇のように見えるが…。"  誤植2: "→ (ドンキホーテ「」残した数十回の再記録要請の下に、ファウストがひとつひとつに却下の文言を書いている。)"  訂正後: " (ドンキホーテ「が」残した数十回の再記録要請の下に、)"	오식1: "酷い血の匂いだな。ひと目見たところ、平凡の薔薇のように見えるが…。"  정확1: "ひと目見たところ、平凡「な」薔薇のように見えるが…。"  오식2: "→ (ドンキホーテ「」残した数十回の再記録要請の下に、ファウストがひとつひとつに却下の文言を書いている。)"  정확: " (ドンキホーテ「が」残した数十回の再記録要請の下に、)"
JP_ActionEvents-a1c7p3.json:121,150	10702-options[2].result[0]	2025-06-12	오기	우리에게 도움이 될만한 경품은 없을 것 같다.\n\n추첨기를 무시하고 계속 앞으로 나아가기로 했다.	私たちに役に立ちそうな景品はなさそうだ。\n\n抽選マシンを無視して前に進み続けることにした。	私たちの役に立ちそうな景品はなさそうだ。\n\n抽選マシンを無視して前に進み続けることにした。	誤記: "「私たちに役に立ちそうな」景品はなさそうだ。" 訂正後: "「私たちの役に立ちそうな」景品はなさそうだ。"	오기: "「私たちに役に立ちそうな」景品はなさそうだ。" 정확: "「私たちの役に立ちそうな」景品はなさそうだ。"
JP_ActionEvents-a1c7p3.json:121,150	1070201-options[2].result[0]	2025-06-12	오기	우리에게 도움이 될만한 경품은 없을 것 같다.\n\n추첨기를 무시하고 계속 앞으로 나아가기로 했다.	私たちに役に立ちそうな景品はなさそうだ。\n\n抽選マシンを無視して前に進み続けることにした。	私たちの役に立ちそうな景品はなさそうだ。\n\n抽選マシンを無視して前に進み続けることにした。	誤記: "「私たちに役に立ちそうな」景品はなさそうだ。" 訂正後: "「私たちの役に立ちそうな」景品はなさそうだ。"	오기: "「私たちに役に立ちそうな」景品はなさそうだ。" 정확: "「私たちの役に立ちそうな」景品はなさそうだ。"
JP_ActionEvents-walpu4.json:118	971035-options[1].result[0]	2025-06-12	오기	관 안에는 차갑게 죽은 나비 하나가 침묵 속에 가만히, 그저 가만히 머무른다.\n\n끝에 무언가 있을 것이라는 듯 부질없는 날개짓을 반복하던 새하얀 나비들은 어느새 자취를 감췄다.\n\n죽음의 끝에는 무엇이 있을까. 사실은 아무것도.	棺の中には、冷たく息絶えた蝶ひとつが静かに、ただ静かに佇んでいる。\n\n終わりに何かがあるだろという無意味な羽ばたきを繰り返していた真っ白な蝶たちは、いつの間にか姿を消していた。\n\n死の果てには何があるのだろうか。実のところは、何も。	棺の中には、冷たく息絶えた蝶ひとつが静かに、ただ静かに佇んでいる。\n\n終わりに何かがあるだろうという無意味な羽ばたきを繰り返していた真っ白な蝶たちは、いつの間にか姿を消していた。\n\n死の果てには何があるのだろうか。実のところは、何も。	誤記: "終わりに何かがあるだろ「」という無意味な羽ばたきを繰り返していた真っ白な蝶たちは、いつの間にか姿を消していた。"  訂正後: "終わりに何かがあるだろ「う」という無意味な羽ばたきを繰り返していた真っ白な蝶たちは、"	오기: "終わりに何かがあるだろ「」という無意味な羽ばたきを繰り返していた真っ白な蝶たちは、いつの間にか姿を消していた。"  정확: "終わりに何かがあるだろ「う」という無意味な羽ばたきを繰り返していた真っ白な蝶たちは、"
JP_ActionEvents.json:300,308	10304-options[1].result[1]	2025-06-12	오기	'…없잖아?'\n\n상자 안에는 아무것도 없었다.\n그저 먼지 몇 톨이 오래간만에 만난 바깥 공기에 신나 굴러다니고 있을 뿐.\n\n'그러니까 내가 저거 고르라고 했잖아~'\n\n'아니, 저것도 비었을 것이다.'\n\n수감자들이 볼멘소리를 내는 것을 애써 무시하며, 방을 떠났다.	「…無い。」\n\n箱の中には何も無かった。\nただ、ほこり数片が久しぶりに外の空気に触れられたことを喜びながら転がっているだけだ。\n\n「だから私があれ選べって言ったでしょ～。」\n\n「否、あれもきっと空であろう。」\n\n囚人たちが不満を漏らすのをなんとか無視し、部屋を出た.	「…無い。」\n\n箱の中には何も無かった。\nただ、ほこり数片が久しぶりに外の空気に触れられたことを喜びながら転がっているだけだ。\n\n「だから私があれ選べって言ったでしょ～。」\n\n「否、あれもきっと空であろう。」\n\n囚人たちが不満を漏らすのをなんとか無視し、部屋を出た。	誤記: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「.」"  訂正後: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「。」"	오기: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「.」"  정확: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「。」"
JP_ActionEvents.json:300,308	10304-options[2].result[1]	2025-06-12	오기	'…없잖아?'\n상자 안에는 아무것도 없었다. 그저 먼지 몇 톨이 오래간만에 만난 바깥 공기에 신나 굴러다니고 있을 뿐.\n'그러니까 내가 저거 고르라고 했잖아~'\n'아니, 저것도 비었을 것이다.'\n수감자들이 볼멘소리를 내는 것을 애써 무시하며, 방을 떠났다.	「…無い。」\n\n箱の中には何も無かった。\nただ、ほこり数片が久しぶりに外の空気に触れられたことを喜びながら転がっているだけだ。\n\n「だから私があれ選べって言ったでしょ～。」\n\n「否、あれもきっと空であろう。」\n\n囚人たちが不満を漏らすのをなんとか無視し、部屋を出た.	「…無い。」\n\n箱の中には何も無かった。\nただ、ほこり数片が久しぶりに外の空気に触れられたことを喜びながら転がっているだけだ。\n\n「だから私があれ選べって言ったでしょ～。」\n\n「否、あれもきっと空であろう。」\n\n囚人たちが不満を漏らすのをなんとか無視し、部屋を出た。	誤記: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「.」"  訂正後: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「。」"	오기: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「.」"  정확: "囚人たちが不満を漏らすのをなんとか無視し、部屋を出た「。」"
JP_ActionEvents.json:472	10311-options[3].result[0]	2025-06-12	오기	아무것도 챙기지 않기로 했다.\n기분 나쁜 신체기관을 굳이 건드리지 않는게 좋을 것 같다.\n우리는 관 앞을 떠나갔다.	何も持って行かないコトン強いた。\n気持ち悪い臓器にあえて触る理由はない。\n私たちは棺の前を過ぎ去っていった。	何も持って行かないことにした。\n気持ち悪い臓器にあえて触る理由はない。\n私たちは棺の前を過ぎ去っていった。	誤記: "何も持って行かない「コトン強い」た。"  訂正後: "何も持って行かない「ことにし」た。"	오기: "何も持って行かない「コトン強い」た。"  정확: "何も持って行かない「ことにし」た。"
JP_ActionEvents.json:551	103002-desc	2025-06-12	오기	N사 심문관이 의체 인간들을 고문하고 있다.\n싱클레어가 분노와 공포로 떠는 것이 느껴진다.\n어떻게 해야 할까?	N社の審問官が擬体人間たちを拷問している。\nシンクレアが怒りと恐怖で震えているのが感じられる。\nどうすればいいかな？	N社の審問官が義体人間たちを拷問している。\nシンクレアが怒りと恐怖で震えているのが感じられる。\nどうすればいいかな？	誤記: "N社の審問官が「擬」体人間たちを拷問している。"  訂正後: "N社の審問官が「義」体人間たちを拷問している。"	오기: "N社の審問官が「擬」体人間たちを拷問している。"  정확: "N社の審問官が「義」体人間たちを拷問している。"
JP_ActionEvents.json:562	103002-options[1].result[0]	2025-06-12	오기	불필요한 싸움이 생기더라도 지켜볼 수 만은 없겠지.\n싱클레어가 결의를 다지며 무기를 쥐었다.	不必要な戦いが起こったとしても見過ごすわけにはいかないだろう。\nシンクレアは決意を固め，武器を握った。	不必要な戦いが起こったとしても見過ごすわけにはいかないだろう。\nシンクレアは決意を固め、武器を握った。	誤記: "シンクレアは決意を固め「，」武器を握った。" 訂正後: "シンクレアは決意を固め「、」武器を握った。"	오기: "シンクレアは決意を固め「，」武器を握った。" 정확: "シンクレアは決意を固め「、」武器を握った。"
JP_ActionEvents.json:826	910302-options[0].result[0]	2025-06-12	오기	"그대!!!!! 양념이 새어나오고 있소!!!!!!"\n"크게 말하지 마, 바보야..."\n지적받은 닭은 황급히 자신의 등(이라고 생각되는 곳)을 만지작 거렸다.\n서글프게도, 그것에게 촘촘하게 매어져야 할 실매듭이 헐거워진 상태였다.\n"끼에, 끼이에엡..."\n자신은 도저히 할 수 없다는 것일까. 양념을 뚝뚝 흘리며 다가온 그것은 손(혹은 날개)에 실과 바늘을 쥐고 있었다.\n꿰메어 달라는 뜻일까?	「そなた！！！！タレが漏れておりまするぞ！！！！！！！」\n「大声出すなよ、アホ…。」\n指摘された鶏は急いで自分の背(と思わしき場所)をまさぐった。\n悲しいことに、本来それにきっちりと縫われているべき糸が緩んでいた。\n「キエ、キエエエッ…。」\n自分には到底できないということだろうか。タレをぽたぽた零しながら近づいてたそれは、手(あるいは羽)に糸と針を握っていた。\n縫ってほしいという意味だろうか？	「そなた！！！！タレが漏れておりまするぞ！！！！！！！」\n「大声出すなよ、アホ…。」\n指摘された鶏は急いで自分の背(と思わしき場所)をまさぐった。\n悲しいことに、本来それにきっちりと縫われているべき糸が緩んでいた。\n「キエ、キエエエッ…。」\n自分には到底できないということだろうか。タレをぽたぽた零しながら近づいてきたそれは、手(あるいは羽)に糸と針を握っていた。\n縫ってほしいという意味だろうか？	誤記: "自分には到底できないということだろうか。タレをぽたぽた零しながら近づいて「」たそれは、手(あるいは羽)に糸と針を握っていた。"  訂正後: "タレをぽたぽた零しながら近づいて「き」たそれは、"	오기: "自分には到底できないということだろうか。タレをぽたぽた零しながら近づいて「」たそれは、手(あるいは羽)に糸と針を握っていた。"  정확: "タレをぽたぽた零しながら近づいて「き」たそれは、"
JP_ActionEvents.json:840	910302-options[2].result[0]	2025-06-12	오기	"으음~ 맛있는 향기가 나는데, 어~디~서 나는 것인지 모르겠네?!"\n"...좀 더 그럴 듯한 연기는 안되나 보네요."\n수감자의 외침 덕인지, 격렬하게 춤을 추던 닭들이 동시에 멈춰섰다.\n서로의 등을 살펴보던 닭들은, 곧이어 양념이 새어나오는 진원지를 찾았다.\n"끼에, 끼엡."\n"기에."\n그들은 당황하지 않고 실과 바늘로 그것의 등(이라고 생각되는 곳)을 봉합했다.\n그 모습은 능숙하며 빈틈이 없었다.\n봉합이 끝나자, 그들은 조명 밖으로 총총총 사라져 갔다.\n남은 것은 그들이 쓰던 실과 바늘 뿐이었다.	「うぅ～ん。美味しい匂いがするなぁ～、ど～こ～か～ら～来てるのか分からないなぁ～！？」\n「…もうちょっとそれっぽい演技はできないんですかね。」\n囚人の声のおかげか、激しく踊っていた鶏たちが同時に止まった。\nお互いの背中を調べていた鶏たちは、ついにタレの発生源を突き止めた。\n「キエ、キエッ。」\n「ギエ。」\nそれらは慌てずに糸と針でそれの背中(と思わしき場所)を縫合した。\nその様子は手慣れており、隙が無かった。\n縫合が終わると，それらは照明の外へと姿を消していった。\n残ったのはそれらが使っていた糸と針だけだった。	「うぅ～ん。美味しい匂いがするなぁ～、ど～こ～か～ら～来てるのか分からないなぁ～！？」\n「…もうちょっとそれっぽい演技はできないんですかね。」\n囚人の声のおかげか、激しく踊っていた鶏たちが同時に止まった。\nお互いの背中を調べていた鶏たちは、ついにタレの発生源を突き止めた。\n「キエ、キエッ。」\n「ギエ。」\nそれらは慌てずに糸と針でそれの背中(と思わしき場所)を縫合した。\nその様子は手慣れており、隙が無かった。\n縫合が終わると、それらは照明の外へと姿を消していった。\n残ったのはそれらが使っていた糸と針だけだった。	誤記: "縫合が終わると「，」それらは照明の外へと姿を消していった。" 訂正後: "縫合が終わると「、」それらは照明の外へと姿を消していった。"	오기: "縫合が終わると「，」それらは照明の外へと姿を消していった。" 정확: "縫合が終わると「、」それらは照明の外へと姿を消していった。"
JP_ActionEvents_Mirror4.json:40	971003-options[0].result[0]	2025-06-12	오기	"그대!!!!! 양념이 새어나오고 있소!!!!!!"\n"크게 말하지 마, 바보야..."\n지적받은 닭은 황급히 자신의 등(이라고 생각되는 곳)을 만지작 거렸다.\n서글프게도, 그것에게 촘촘하게 매어져야 할 실매듭이 헐거워진 상태였다.\n"끼에, 끼이에엡..."\n자신은 도저히 할 수 없다는 것일까. 양념을 뚝뚝 흘리며 다가온 그것은 손(혹은 날개)에 실과 바늘을 쥐고 있었다.\n꿰메어 달라는 뜻일까?	「そなた！！！！タレが漏れておりまするぞ！！！！！！！」\n「大声出すなよ、アホ…。」\n指摘された鶏は急いで自分の背(と思わしき場所)をまさぐった。\n悲しいことに、本来それにきっちりと縫われているべき糸が緩んでいた。\n「キエ、キエエエッ…。」\n自分には到底できないということだろうか。タレをぽたぽた零しながら近づいてたそれは、手(あるいは羽)に糸と針を握っていた。\n縫ってほしいという意味だろうか？	「そなた！！！！タレが漏れておりまするぞ！！！！！！！」\n「大声出すなよ、アホ…。」\n指摘された鶏は急いで自分の背(と思わしき場所)をまさぐった。\n悲しいことに、本来それにきっちりと縫われているべき糸が緩んでいた。\n「キエ、キエエエッ…。」\n自分には到底できないということだろうか。タレをぽたぽた零しながら近づいてきたそれは、手(あるいは羽)に糸と針を握っていた。\n縫ってほしいという意味だろうか？	誤記: "自分には到底できないということだろうか。タレをぽたぽた零しながら近づいて「」たそれは、手(あるいは羽)に糸と針を握っていた。"  訂正後: "タレをぽたぽた零しながら近づいて「き」たそれは、"	오기: "自分には到底できないということだろうか。タレをぽたぽた零しながら近づいて「」たそれは、手(あるいは羽)に糸と針を握っていた。"  정확: "タレをぽたぽた零しながら近づいて「き」たそれは、"
